ExampleA	ExampleA
Reference pedigree	Family tree
0.00165517	0.214938
0.00165394	0.214207
0.00164864	0.20638
0.0016382	0.20228
0.00162039	0.190394
0.00161714	0.189165
0.00154449	0.186195
0.00152972	0.178907
0.00145575	0.175162
0.00141368	0.174675
0.00137072	0.169543
0.00135302	0.162392
0.0013429	0.15894
0.00130038	0.15333
0.0012804	0.151199
0.00127757	0.150475
0.00125347	0.147211
0.00121357	0.141239
0.00114381	0.131208
0.00113543	0.0897686
0.00109637	0.086327
0.00108944	0.0854235
0.00103082	0.08026
0.000918105	0.0761699
0.000834908	0.0735169
0.000833134	0.0689513
0.000803918	0.0653015
0.000775071	0.0561429
0.000712048	0.0456471
0.000698953	0.044758
0.000635476	0.0427504
0.000629283	0.0351213
0.000529588	0.0183267
0.000389857	0.0117322
0.000349569	0.010525
