Ejemplo_TP	Ejemplo_RP
54.0008	1.37405
53.9751	1.37349
53.8955	1.37317
53.8868	1.37273
53.8097	1.37221
53.7486	1.37125
53.7041	1.36931
53.5478	1.36789
53.5421	1.36779
53.5217	1.36598
53.4854	1.36517
53.4285	1.36434
53.3743	1.36272
53.3512	1.35759
53.3396	1.35751
53.3192	1.3565
53.2738	1.35643
53.2163	1.35607
53.1506	1.3554
52.9836	1.35351
52.9451	1.35271
52.909	1.3526
52.9053	1.35166
52.803	1.34896
52.71	1.34837
52.5402	1.34764
52.4706	1.34298
52.4227	1.34294
52.4042	1.3427
52.3784	1.3421
52.3747	1.34107
52.3086	1.33809
52.2711	1.33808
52.2389	1.33564
52.2229	1.3353
52.1706	1.33469
52.1483	1.3334
52.0547	1.33271
52.0242	1.33137
51.9791	1.33136
51.866	1.3299
51.8517	1.32812
51.7977	1.32427
51.6847	1.324
51.6605	1.32219
51.6496	1.3221
51.6217	1.32045
51.6058	1.31756
51.5731	1.31728
51.5541	1.31608
51.5471	1.31544
51.4743	1.31539
51.4586	1.31349
51.3968	1.31147
51.3559	1.30688
51.3276	1.30639
51.1906	1.30621
51.1756	1.30608
51.1346	1.30588
51.0858	1.30572
51.0614	1.30331
51.0004	1.29758
50.9493	1.29608
50.9387	1.29524
50.8671	1.29439
50.8384	1.29421
50.7561	1.29336
50.7557	1.29265
50.695	1.29234
50.655	1.29023
50.5949	1.28937
50.5103	1.28934
50.5036	1.28879
50.5021	1.28638
50.4769	1.28402
50.4162	1.28284
50.3989	1.28266
50.3158	1.2808
50.3125	1.28032
50.2907	1.2796
50.1963	1.27934
50.0877	1.27744
50.0418	1.27541
50.0241	1.2752
49.9692	1.27505
49.9443	1.27419
49.8381	1.27083
49.7657	1.27035
49.6432	1.26899
49.6357	1.26847
49.5614	1.26778
49.3481	1.26509
49.3415	1.26504
49.3023	1.26274
49.2287	1.25988
49.2227	1.25973
49.0672	1.25831
48.9777	1.25676
48.9635	1.25638
48.9266	1.25581
48.8866	1.25437
48.8382	1.25075
48.8309	1.24922
48.8085	1.24815
48.5227	1.24801
48.5049	1.24744
48.4655	1.24737
48.4636	1.24723
48.4193	1.24629
48.3902	1.24621
48.3878	1.24413
48.359	1.2437
48.2942	1.24347
48.2745	1.24319
48.2583	1.24196
48.2428	1.24166
48.1578	1.23989
47.9146	1.2385
47.834	1.23841
47.7315	1.23809
47.6836	1.23707
47.6724	1.23694
47.6493	1.2363
47.5897	1.23578
47.5239	1.2352
47.2512	1.23336
47.1842	1.23229
47.1472	1.23151
47.0573	1.2306
46.9729	1.22775
46.944	1.22545
46.8381	1.22388
46.8112	1.22369
46.7367	1.22329
46.6191	1.22319
46.6115	1.22176
46.5947	1.21907
46.4209	1.21889
46.335	1.21879
46.2254	1.21877
46.197	1.21872
46.0482	1.21866
46.0258	1.21853
45.9684	1.21724
45.941	1.216
45.9238	1.21569
45.9035	1.2145
45.8994	1.21241
45.836	1.21217
45.7885	1.21199
45.7795	1.21083
45.7474	1.21082
45.6425	1.21067
45.6109	1.21053
45.5954	1.21041
45.5529	1.21002
45.5362	1.2091
45.4595	1.20871
